cve_mun,year,area_ha,area_ha_se,expansion_rate_pct
99007,2025,586.2,37.7,9.36
99008,2015,372.0,25.4,0.0
99008,2016,389.4,39.7,4.7
99008,2017,422.4,37.4,8.46
99008,2018,506.9,40.5,20.01
99008,2019,540.3,27.4,6.58
99008,2020,628.8,34.8,16.39
99008,2021,722.4,80.8,14.88
99008,2022,808.6,91.6,11.93
99008,2023,859.8,75.8,6.33
99008,2024,883.4,95.8,2.75
99008,2025,851.2,77.3,-3.65
99009,2015,201.8,18.9,0.0
99009,2016,215.7,13.1,6.85
99009,2017,235.7,27.1,9.31
99009,2018,251.6,27.8,6.71
99009,2019,299.0,35.4,18.86
99009,2020,310.3,33.1,3.78
99009,2021,350.5,39.1,12.94
99009,2022,405.4,21.0,15.67
99009,2023,452.2,45.9,11.56
99009,2024,480.2,35.2,6.19
99009,2025,504.5,58.1,5.05
99010,2015,430.8,30.7,0.0
99010,2016,467.8,49.4,8.6
99010,2017,471.9,31.1,0.87
99010,2018,524.1,27.1,11.07
99010,2019,632.9,40.2,20.75
99010,2020,758.8,55.4,19.89
99010,2021,898.2,99.3,18.37
99010,2022,1026.1,120.7,14.24
99010,2023,1065.0,74.1,3.8
99010,2024,1105.5,104.9,3.8
99010,2025,1082.8,84.4,-2.06
99011,2015,493.4,42.3,0.0
99011,2016,510.2,39.3,3.4
99011,2017,566.1,51.2,10.96
99011,2018,683.8,46.4,20.79
99011,2019,803.9,80.1,17.56
99011,2020,993.1,49.8,23.55
99011,2021,1110.0,127.4,11.77
99011,2022,1269.7,111.3,14.38
99011,2023,1270.7,127.5,0.08
99011,2024,1328.9,135.5,4.58
99011,2025,1327.2,128.7,-0.13
99012,2015,160.1,11.3,0.0
99012,2016,174.6,10.3,9.01
99012,2017,186.6,14.8,6.89
99012,2018,205.1,23.8,9.9
99012,2019,237.5,23.1,15.8
99012,2020,276.9,31.3,16.61
99012,2021,292.1,27.2,5.49
99012,2022,323.2,23.0,10.66
99012,2023,353.2,31.2,9.27
99012,2024,348.2,17.4,-1.4
99012,2025,362.9,25.4,4.21
99013,2015,174.6,12.8,0.0
99013,2016,179.6,19.3,2.89
99013,2017,182.9,18.8,1.84
99013,2018,207.0,20.1,13.18
99013,2019,234.5,15.4,13.28
99013,2020,275.6,17.6,17.51
99013,2021,328.7,17.0,19.25
99013,2022,351.1,23.6,6.81
99013,2023,375.0,31.2,6.81
99013,2024,388.0,42.5,3.47
99013,2025,373.9,20.6,-3.64
99014,2015,171.2,13.7,0.0
99014,2016,177.4,11.1,3.65
99014,2017,183.7,21.5,3.56
99014,2018,202.2,17.4,10.07
99014,2019,215.4,11.5,6.49
99014,2020,241.8,16.3,12.28
99014,2021,288.5,31.6,19.3
99014,2022,347.1,28.4,20.33
99014,2023,368.8,39.1,6.23
99014,2024,377.0,36.5,2.24
99014,2025,377.5,45.0,0.12
99015,2015,211.0,20.0,0.0
99015,2016,217.4,22.5,3.05
99015,2017,220.4,19.1,1.37
99015,2018,235.4,22.1,6.82
99015,2019,241.5,16.7,2.58
99015,2020,269.8,15.0,11.72
99015,2021,274.7,19.2,1.81
99015,2022,299.0,20.6,8.84
99015,2023,316.4,22.9,5.82
99015,2024,308.4,27.1,-2.54
99015,2025,314.0,18.7,1.83
99016,2015,130.9,12.9,0.0
99016,2016,135.3,14.9,3.38
99016,2017,136.1,14.1,0.59
99016,2018,158.8,12.2,16.71
99016,2019,181.1,9.1,14.01
99016,2020,193.8,14.5,7.0
99016,2021,214.4,22.0,10.63
99016,2022,243.1,26.7,13.4
99016,2023,267.4,31.2,10.02
99016,2024,284.5,22.6,6.38
99016,2025,281.7,28.8,-0.98
99017,2015,118.3,6.1,0.0
99017,2016,122.7,9.5,3.72
99017,2017,129.6,11.6,5.61
99017,2018,151.9,7.9,17.25
99017,2019,176.9,16.8,16.45
99017,2020,199.6,11.9,12.82
99017,2021,219.2,18.0,9.81
99017,2022,235.4,12.6,7.41
99017,2023,255.0,19.5,8.28
99017,2024,269.9,17.5,5.87
99017,2025,285.8,20.8,5.88
99018,2015,157.0,16.4,0.0
99018,2016,159.2,15.2,1.37
99018,2017,172.6,17.7,8.45
99018,2018,196.6,22.9,13.88
99018,2019,213.6,13.7,8.68
99018,2020,241.1,12.4,12.86
99018,2021,271.2,16.5,12.49
99018,2022,247.1,14.5,-8.9
99018,2023,251.5,24.4,1.77
99018,2024,247.9,22.2,-1.41
99018,2025,264.5,17.3,6.69
99019,2015,145.9,11.3,0.0
99019,2016,150.6,15.1,3.19
99019,2017,152.2,8.4,1.11
99019,2018,162.6,16.0,6.82
99019,2019,193.4,18.2,18.96
99019,2020,228.4,13.1,18.1
99019,2021,261.2,27.2,14.33
99019,2022,291.2,31.9,11.47
99019,2023,318.6,29.3,9.41
99019,2024,326.7,19.1,2.56
99019,2025,318.7,37.9,-2.44
99020,2015,160.9,17.4,0.0
99020,2016,166.0,16.5,3.18
99020,2017,178.6,14.4,7.6
99020,2018,192.8,19.5,7.92
99020,2019,224.2,26.4,16.31
99020,2020,239.3,16.5,6.72
99020,2021,287.5,30.6,20.18
99020,2022,325.0,28.5,13.04
99020,2023,339.0,28.4,4.3
99020,2024,364.5,29.3,7.51
99020,2025,366.7,37.1,0.61
99021,2015,68.3,7.2,0.0
99021,2016,68.6,5.1,0.46
99021,2017,75.7,8.4,10.3
99021,2018,88.8,8.8,17.35
99021,2019,99.7,6.9,12.22
99021,2020,117.2,5.9,17.59
99021,2021,126.9,14.8,8.25
99021,2022,138.1,7.7,8.88
99021,2023,157.0,15.8,13.68
99021,2024,162.4,13.7,3.4
99021,2025,167.5,17.3,3.15
99022,2015,144.3,11.5,0.0
99022,2016,148.5,15.2,2.88
99022,2017,151.8,11.1,2.23
99022,2018,170.9,17.0,12.59
99022,2019,187.8,12.9,9.87
99022,2020,212.8,14.4,13.36
99022,2021,254.5,14.9,19.55
99022,2022,279.2,17.7,9.72
99022,2023,309.8,18.1,10.95
99022,2024,300.9,26.3,-2.85
99022,2025,309.4,32.0,2.82
99023,2015,53.3,3.7,0.0
99023,2016,57.8,6.8,8.38
99023,2017,59.9,5.3,3.69
99023,2018,59.0,5.8,-1.53
99023,2019,63.7,3.7,7.97
99023,2020,71.0,7.9,11.37
99023,2021,81.4,6.9,14.65
99023,2022,92.7,10.3,13.94
99023,2023,98.6,8.9,6.35
99023,2024,103.0,8.5,4.49
99023,2025,110.1,8.9,6.92
99024,2015,53.2,3.8,0.0
99024,2016,59.4,7.1,11.77
99024,2017,63.8,3.7,7.26
99024,2018,65.5,6.8,2.8
99024,2019,74.3,6.9,13.3
99024,2020,82.0,8.6,10.41
99024,2021,92.8,6.1,13.15
99024,2022,102.8,8.9,10.86
99024,2023,108.0,8.8,5.04
99024,2024,113.5,9.2,5.05
99024,2025,120.5,13.3,6.15
99025,2015,198.2,16.2,0.0
99025,2016,215.9,19.8,8.93
99025,2017,218.5,15.4,1.2
99025,2018,233.3,15.4,6.78
99025,2019,268.8,26.7,15.23
99025,2020,298.1,29.6,10.9
99025,2021,339.2,27.7,13.78
99025,2022,404.1,39.7,19.13
99025,2023,433.9,49.8,7.36
99025,2024,451.5,47.5,4.06
99025,2025,461.7,43.3,2.26
99026,2015,139.0,12.5,0.0
99026,2016,150.0,10.5,7.89
99026,2017,155.6,9.1,3.72
99026,2018,163.4,16.0,5.06
99026,2019,179.8,17.8,10.0
99026,2020,215.5,25.0,19.85
99026,2021,230.3,19.6,6.91
99026,2022,264.2,22.3,14.71
99026,2023,282.9,15.7,7.05
99026,2024,281.9,14.9,-0.36
99026,2025,305.0,24.5,8.22
99027,2015,78.0,7.5,0.0
99027,2016,82.9,9.5,6.31
99027,2017,91.7,5.7,10.54
99027,2018,100.6,9.2,9.75
99027,2019,101.7,9.6,1.07
99027,2020,108.2,9.1,6.42
99027,2021,129.3,7.3,19.47
99027,2022,144.8,10.8,11.98
99027,2023,153.3,11.2,5.86
99027,2024,158.1,15.3,3.14
99027,2025,161.5,17.8,2.18
99028,2015,79.4,6.8,0.0
99028,2016,82.7,9.8,4.14
99028,2017,84.9,8.2,2.68
99028,2018,102.4,9.0,20.63
99028,2019,111.5,8.8,8.91
99028,2020,119.0,7.5,6.76
99028,2021,131.3,9.9,10.29
99028,2022,144.8,14.9,10.26
99028,2023,158.1,14.8,9.25
99028,2024,167.6,17.3,6.0
99028,2025,169.7,10.9,1.24
99029,2015,118.9,13.5,0.0
99029,2016,123.1,10.1,3.59
99029,2017,128.7,7.5,4.51
99029,2018,141.0,15.3,9.59
99029,2019,167.5,14.2,18.75
99029,2020,185.6,18.6,10.85
99029,2021,208.3,17.8,12.2
99029,2022,239.4,16.5,14.93
99029,2023,242.2,26.3,1.19
99029,2024,243.2,28.8,0.41
99029,2025,273.3,18.3,12.39
99030,2015,119.2,12.8,0.0
99030,2016,119.2,8.3,-0.04
99030,2017,130.5,9.3,9.52
99030,2018,132.8,12.1,1.73
99030,2019,148.0,17.8,11.47
99030,2020,169.7,14.3,14.64
99030,2021,184.9,11.2,8.97
99030,2022,209.5,18.4,13.29
99030,2023,213.6,15.8,1.99
99030,2024,227.2,20.1,6.36
99030,2025,227.4,20.0,0.09
